Datetime,Open,High,Low,Close,Volume
2021-07-01,15755.05,15755.55,15667.05,15680.0,224921644.0
2021-07-02,15705.85,15738.35,15635.95,15722.2,254808999.0
2021-07-05,15793.4,15845.95,15762.05,15834.35,207032153.0
2021-07-06,15813.75,15914.2,15801.0,15818.25,391410742.0
2021-07-07,15819.6,15893.55,15779.7,15879.65,329308646.0
2021-07-08,15855.4,15885.75,15682.9,15727.9,307928495.0
2021-07-09,15688.25,15730.85,15632.75,15689.8,243249366.0
2021-07-12,15766.8,15789.2,15644.75,15692.6,216272488.0
2021-07-13,15794.0,15820.8,15744.6,15812.35,246676549.0
2021-07-14,15808.7,15877.35,15764.2,15853.95,239924352.0
2021-07-15,15872.15,15952.35,15855.0,15924.2,284851049.0
2021-07-16,15958.35,15962.25,15882.6,15923.4,276298105.0
2021-07-19,15754.5,15836.9,15707.5,15752.4,242131813.0
2021-07-20,15703.95,15728.45,15578.55,15632.1,274284165.0
2021-07-22,15736.6,15834.8,15726.4,15824.05,265250867.0
2021-07-23,15856.8,15899.8,15768.4,15856.05,294098244.0
2021-07-26,15849.3,15893.35,15797.0,15824.45,267076679.0
2021-07-27,15860.5,15881.55,15701.0,15746.45,311012065.0
2021-07-28,15761.55,15767.5,15513.45,15709.4,318601589.0
2021-07-29,15762.7,15817.35,15737.8,15778.45,401584915.0
2021-07-30,15800.6,15862.8,15744.85,15763.05,400021237.0
2021-08-02,15874.9,15892.9,15834.65,15885.15,244847433.0
2021-08-03,15951.55,16146.9,15914.35,16130.75,341289658.0
2021-08-04,16195.25,16290.2,16176.15,16258.8,427337644.0
2021-08-05,16288.95,16349.45,16210.3,16294.6,418174517.0
2021-08-06,16304.4,16336.75,16223.3,16238.2,320087281.0
2021-08-09,16281.35,16320.75,16179.05,16258.25,240452917.0
2021-08-10,16274.8,16359.25,16202.25,16280.1,287989486.0
2021-08-11,16327.3,16338.75,16162.55,16282.25,277895886.0
2021-08-12,16303.65,16375.5,16286.9,16364.4,280181324.0
2021-08-13,16385.7,16543.6,16376.3,16529.1,321866286.0
2021-08-16,16518.4,16589.4,16480.75,16563.05,254049330.0
2021-08-17,16545.25,16628.55,16495.4,16614.6,297388470.0
2021-08-18,16691.95,16701.85,16535.85,16568.85,251796822.0
2021-08-20,16382.5,16509.55,16376.05,16450.5,350819323.0
2021-08-23,16592.25,16592.5,16395.7,16496.45,275597782.0
2021-08-24,16561.4,16647.1,16495.3,16624.6,275362819.0
2021-08-25,16654.0,16712.45,16617.5,16634.65,265920141.0
2021-08-26,16627.95,16683.7,16603.4,16636.9,253530997.0
2021-08-27,16642.55,16722.05,16565.6,16705.2,217405743.0
2021-08-30,16775.85,16951.5,16764.85,16931.05,283483108.0
2021-08-31,16947.5,17153.5,16915.85,17132.2,464390247.0
2021-09-01,17185.6,17225.75,17055.05,17076.25,301894634.0
2021-09-02,17095.4,17245.5,17059.7,17234.15,242377518.0
2021-09-03,17262.45,17340.1,17212.2,17323.6,261373795.0
2021-09-06,17399.35,17429.55,17345.55,17377.8,228045532.0
2021-09-07,17401.55,17436.5,17287.0,17362.1,243417811.0
2021-09-08,17375.75,17383.4,17254.2,17353.5,252652423.0
2021-09-09,17312.85,17379.65,17302.7,17369.25,241509352.0
2021-09-13,17363.55,17378.35,17269.15,17355.3,241053924.0
2021-09-14,17420.35,17438.55,17367.05,17380.0,230354386.0
2021-09-15,17387.65,17532.7,17386.9,17519.45,388191629.0
2021-09-16,17539.2,17644.6,17510.45,17629.5,503310763.0
2021-09-17,17709.65,17792.95,17537.65,17585.15,508285916.0
2021-09-20,17443.85,17622.75,17361.8,17396.9,339102046.0
2021-09-21,17450.5,17578.35,17326.1,17562.0,363578479.0
2021-09-22,17580.9,17610.45,17524.0,17546.65,295191136.0
2021-09-23,17670.85,17843.9,17646.55,17822.95,320514486.0
2021-09-24,17897.45,17947.65,17819.4,17853.2,360130853.0
2021-09-27,17932.2,17943.5,17802.9,17855.1,295714657.0
2021-09-28,17906.45,17912.85,17576.1,17748.6,397997281.0
2021-09-29,17657.95,17781.75,17608.15,17711.3,562237732.0
2021-09-30,17718.9,17742.15,17585.35,17618.15,378592721.0
2021-10-01,17531.9,17557.15,17452.9,17532.05,305763919.0
2021-10-04,17615.55,17750.9,17581.35,17691.25,295761839.0
2021-10-05,17661.35,17833.45,17640.9,17822.3,427000191.0
2021-10-06,17861.5,17884.6,17613.15,17646.0,395833550.0
2021-10-07,17810.55,17857.55,17763.8,17790.35,419890959.0
2021-10-08,17886.85,17941.85,17840.35,17895.2,324066351.0
2021-10-11,17867.55,18041.95,17839.1,17945.95,375756457.0
2021-10-12,17915.8,18008.65,17864.95,17991.95,355568313.0
2021-10-13,18097.85,18197.8,18050.75,18161.75,506679748.0
2021-10-14,18272.85,18350.75,18248.7,18338.55,538714440.0
2021-10-18,18500.1,18543.15,18445.3,18477.05,469883515.0
2021-10-19,18602.35,18604.45,18377.7,18418.75,368230309.0
2021-10-20,18439.9,18458.3,18209.35,18266.6,371276478.0
2021-10-21,18382.7,18384.2,18048.0,18178.1,365902008.0
2021-10-22,18230.7,18314.25,18034.35,18114.9,324748084.0
2021-10-25,18229.5,18241.4,17968.5,18125.4,418703647.0
2021-10-26,18154.5,18310.45,18099.3,18268.4,341377869.0
2021-10-27,18295.85,18342.05,18167.9,18210.95,335248487.0
2021-10-28,18187.65,18190.7,17799.45,17857.25,374205784.0
2021-10-29,17833.05,17915.85,17613.1,17671.65,336466864.0
2021-11-01,17783.15,17954.1,17697.1,17929.65,281190130.0
2021-11-02,17970.9,18012.25,17847.6,17888.95,296441997.0
2021-11-03,17947.95,17988.75,17757.95,17829.2,330995982.0
2021-11-04,17935.05,17947.55,17900.6,17916.8,48520856.0
2021-11-08,18040.2,18087.8,17836.1,18068.55,338919483.0
