datetime,option_type,strike_relative,iv,oi,strike,spot,open,high,low,close,volume,timestamp
2025-11-12 09:15:00,CE,ATM,11.99,3791100,25800.0,25818.4,173.5,210.2,173.5,201.5,2754075,1762919100
2025-11-12 09:16:00,CE,ATM,11.49,3791100,25800.0,25817.45,201.8,201.8,191.6,191.6,1630125,1762919160
2025-11-12 09:17:00,CE,ATM,11.34,3791100,25800.0,25813.1,191.65,194.0,188.0,188.0,948675,1762919220
2025-11-12 09:18:00,CE,ATM,11.6,4841925,25800.0,25810.0,188.4,193.15,188.4,190.15,890550,1762919280
2025-11-12 09:19:00,CE,ATM,11.51,4841925,25800.0,25807.2,189.6,193.6,188.0,188.55,802500,1762919340
2025-11-12 09:20:00,CE,ATM,11.46,4841925,25800.0,25820.15,187.25,195.25,185.2,195.25,1214925,1762919400
2025-11-12 09:21:00,CE,ATM,11.37,3167325,25850.0,25827.75,164.45,172.5,164.45,171.0,1733100,1762919460
2025-11-12 09:22:00,CE,ATM,11.37,3167325,25850.0,25830.9,169.8,172.8,168.5,171.55,862950,1762919520
2025-11-12 09:23:00,CE,ATM,11.45,3167325,25850.0,25825.75,170.45,171.15,168.3,170.65,523425,1762919580
2025-11-12 09:24:00,CE,ATM,11.84,3190050,25850.0,25839.55,169.9,186.7,168.8,182.45,2461875,1762919640
2025-11-12 09:25:00,CE,ATM,11.79,3190050,25850.0,25828.25,181.5,182.25,171.9,175.45,1177350,1762919700
2025-11-12 09:26:00,CE,ATM,11.36,3190050,25850.0,25825.3,174.95,175.15,168.0,168.6,872025,1762919760
2025-11-12 09:27:00,CE,ATM,11.72,5848125,25800.0,25816.55,199.75,202.8,195.1,196.15,908550,1762919820
2025-11-12 09:28:00,CE,ATM,11.5,5848125,25800.0,25801.15,196.4,196.45,183.65,183.65,1082175,1762919880
2025-11-12 09:29:00,CE,ATM,11.89,5848125,25800.0,25794.0,181.2,185.95,181.2,184.3,1019775,1762919940
2025-11-12 09:30:00,CE,ATM,11.88,5848125,25800.0,25790.25,183.9,185.6,180.0,184.15,1011975,1762920000
2025-11-12 09:31:00,CE,ATM,11.8,6212925,25800.0,25798.6,184.05,187.8,183.25,185.95,998025,1762920060
